"timestamp","open","high","low","close","volume","code"
2019-10-03,0.16,0.1625,0.16,0.16,188950,"VEN"
2019-10-02,0.16,0.165,0.16,0.16,387320,"VEN"
2019-10-01,0.165,0.165,0.155,0.16,4726565,"VEN"
2019-09-30,0.155,0.16,0.15,0.16,495707,"VEN"
2019-09-27,0.16,0.16,0.16,0.16,0,"VEN"
2019-09-26,0.155,0.16,0.155,0.16,118493,"VEN"
2019-09-25,0.16,0.16,0.155,0.155,29875,"VEN"
2019-09-24,0.16,0.16,0.155,0.155,345028,"VEN"
2019-09-23,0.155,0.16,0.155,0.155,31133,"VEN"
2019-09-20,0.155,0.155,0.15,0.15,175390,"VEN"
2019-09-19,0.155,0.155,0.15,0.15,207175,"VEN"
2019-09-18,0.155,0.155,0.15,0.15,281654,"VEN"
2019-09-17,0.16,0.16,0.15,0.15,498659,"VEN"
2019-09-16,0.155,0.155,0.15,0.155,331316,"VEN"
2019-09-13,0.16,0.16,0.16,0.16,96209,"VEN"
2019-09-12,0.15,0.15,0.15,0.15,4000,"VEN"
2019-09-11,0.16,0.17,0.16,0.16,525821,"VEN"
2019-09-10,0.15,0.16,0.15,0.16,292414,"VEN"
2019-09-09,0.165,0.165,0.155,0.155,99957,"VEN"
2019-09-06,0.155,0.165,0.155,0.165,170348,"VEN"
2019-09-05,0.15,0.15,0.15,0.15,269762,"VEN"
2019-09-04,0.15,0.15,0.15,0.15,331442,"VEN"
2019-09-03,0.15,0.16,0.15,0.15,1134597,"VEN"
2019-09-02,0.145,0.145,0.145,0.145,101355,"VEN"
2019-08-30,0.145,0.145,0.14,0.14,279001,"VEN"
2019-08-29,0.15,0.15,0.15,0.15,138511,"VEN"
2019-08-28,0.145,0.15,0.145,0.15,205000,"VEN"
2019-08-27,0.14,0.145,0.14,0.145,373285,"VEN"
2019-08-26,0.15,0.15,0.145,0.145,213290,"VEN"
2019-08-23,0.145,0.15,0.145,0.15,219744,"VEN"
2019-08-22,0.14,0.14,0.14,0.14,225000,"VEN"
2019-08-21,0.135,0.135,0.13,0.135,446972,"VEN"
2019-08-20,0.145,0.145,0.14,0.14,37109,"VEN"
2019-08-19,0.14,0.14,0.14,0.14,85571,"VEN"
2019-08-16,0.14,0.14,0.14,0.14,98465,"VEN"
2019-08-15,0.145,0.145,0.14,0.145,139578,"VEN"
2019-08-14,0.147,0.147,0.147,0.1475,20000,"VEN"
2019-08-13,0.15,0.15,0.147,0.15,154026,"VEN"
2019-08-12,0.15,0.15,0.145,0.1475,264315,"VEN"
2019-08-09,0.15,0.15,0.15,0.15,62333,"VEN"
